,year,country,performer,song,place_f,points_f,place_sf1,points_sf1,place_sf2,points_sf2,broadcaster,composer,writer
 croatia_2000,2000, Croatia, Goran Karan, Kada Zaspu Andeli, 9, 70,,,,, HRT," Zdenko Runjić, Neno Ninčević, Nikša Bratoš"," Zdenko Runjić, Neno Ninčević, Nikša Bratoš"
 cyprus_2000,2000, Cyprus, Voice, Nomiza, 21, 8,,,,, CyBC, A. Panayi," A. Panayi, Silvia M. Klemm"
 denmark_2000,2000, Denmark, Olsen brothers, Fly On The Wings Of Love, 1, 195,,,,, DR, Jørgen Olsen, Jørgen Olsen
 estonia_2000,2000, Estonia, Ines, Once In A Lifetime, 4, 98,,,,, ERR," Pearu Paulus, Ilmar Laisaar, Alar Kotkas", Jana Hallas
 finland_2000,2000, Finland, Nina Åström, A Little Bit, 18, 18,,,,, YLE, Luca Genta, Gerrit aan 't Goor
 france_2000,2000, France, Sofia Mestari, On Aura Le Ciel, 23, 5,,,,, France 3," Pierre Legay, Benoît Heinrich"," Pierre Legay, Benoît Heinrich"
 germany_2000,2000, Germany, Stefan Raab, Wadde Hadde Dudde Da, 5, 96,,,,, ARD, Stefan Raab, Stefan Raab
 iceland_2000,2000, Iceland, Einer Augúst Víðisson en Telma Augústdóttir, Tell Me!, 12, 45,,,,, RÚV, Örlygur Smári," Örlygur Smári, Sigurður Örn Jónsson"
 ireland_2000,2000, Ireland, Eamonn Toal, Millennium Of Love, 6, 92,,,,, RTÉ, Gerry Simpson, Raymond J. Smyth
 israel_2000,2000, Israel, Ping Pong, Sa'me'akh, 22, 7,,,,, IBA," Roi Arad, Guy Asif"," Roi Arad, Guy Asif, Ronen Ben Tal"
 latvia_2000,2000, Latvia, BrainStorm, My Star, 3, 136,,,,, LTV, Renārs Kaupers, Renārs Kaupers
 malta_2000,2000, Malta, Claudette Pace, Desire, 8, 73,,,,, PBS, Philip Vella, Gerard James Borg
 netherlands_2000,2000, Netherlands, Linda Wagenmakers, No Goodbyes, 13, 40,,,,, NOS, John O'Hare, Ellert Driessen
 north macedonia_2000,2000, North Macedonia, XXL, 100% Te Ljubam, 15, 29,,,,, MKRTV, Dragan Karanfilovski," Orče Zafirovski, Vlado Janevski"
 norway_2000,2000, Norway, Charmed, My Heart Goes Boom, 11, 57,,,,, NRK," Tore Madsen, Morten Henriksen"," Tore Madsen, Morten Henriksen"
 romania_2000,2000, Romania, Taxi, The Moon, 17, 25,,,,, TVR, Dan Teodorescu, Dan Teodorescu
 russia_2000,2000, Russia, Alsou, Solo, 2, 155,,,,, C1R," Andrew Lane, Brandon Barn"," Andrew Lane, Brandon Barn"
 spain_2000,2000, Spain, Serafín Zubiri, Colgado De Un Sueño, 18, 18,,,,, TVE, José María Purón, José María Purón
 sweden_2000,2000, Sweden, Roger Pontare, When Spirits Are Calling My Name, 7, 88,,,,, SVT," Thomas Holmstrand, Linda Jansson, Peter Dahl"," Thomas Holmstrand, Linda Jansson, Peter Dahl"
 switzerland_2000,2000, Switzerland, Jane Bogaert, La Vita Cos'è?, 20, 14,,,,, SSR SRG," Brigitte Schöb, Bernie Staub", Thomas Marin
 turkey_2000,2000, Turkey, Pinar Ayhan & S.O.S. band, Yorgunum Anla, 10, 59,,,,, TRT, Sühan Ayhan," Pınar Ayhan, Orkun Yazgan"
 united kingdom_2000,2000, United Kingdom, Nicki French, Don't Play That Song Again, 16, 28,,,,, BBC," John Springate, Gerry Shephard"," John Springate, Gerry Shephard"
 bosnia & herzegovina_2001,2001, Bosnia & Herzegovina, Nino, Hano, 14, 29,,,,, PBSBIH, Nino Pršeš, Nino Pršeš
 croatia_2001,2001, Croatia, Vanna, Strings Of My Heart, 10, 42,,,,, HRT, Tonči Huljić, Vjekoslava Huljić
 denmark_2001,2001, Denmark, Rollo & King, Never Ever Let You Go, 2, 177,,,,, DR, Søren Poppe," Thomas Brekling, Stefan Nielsen"
 estonia_2001,2001, Estonia," Tanel Padar, Dave Benton & 2XL", Everybody, 1, 198,,,,, ERR, Ivar Must, Maian-Anna Kärmas
 france_2001,2001, France, Natasha Saint-Pier, Je N'ai Que Mon âme, 4, 142,,,,, France 3, Jill Kapler, Jill Kapler
 germany_2001,2001, Germany, Michelle, Wer Liebe Lebt, 8, 66,,,,, ARD," Gino Trovatello, Matthias Stingl"," Eva Richter, Mary Applegate"
 greece_2001,2001, Greece, Antique, Die For You, 3, 147,,,,, ERT, Nikos Terzis, Antonis Pappas
 iceland_2001,2001, Iceland, TwoTricky, Angel, 22, 3,,,,, RÚV," Einar Bárðarson, Magnús Þór Sigmundsson", Einar Bárðarson
 ireland_2001,2001, Ireland, Gary O'Shaughnessy, Without Your Love, 21, 6,,,,, RTÉ, Pat Sheridan, Pat Sheridan
 israel_2001,2001, Israel, Tal Sondak, Ein Davar, 16, 25,,,,, IBA, Yair Klinger, Shimrit Orr
 latvia_2001,2001, Latvia, Arnis Mednis, Too Much, 18, 16,,,,, LTV, Arnis Mednis," Arnis Mednis, Gustavs Terzens"
 lithuania_2001,2001, Lithuania, Skamp, You Got Style, 13, 35,,,,, LRT, V. Diawara," V. Diawara, E. Q. Jennings, V. Alesius"
 malta_2001,2001, Malta, Fabrizio Faniello, Another Summer Night, 9, 48,,,,, PBS, Paul Abela, Georgina Abela
 netherlands_2001,2001, Netherlands, Michelle, Out On My Own, 18, 16,,,,, NOS," Dirk-Jan Vermeij, André Remkes", André Remkes
 norway_2001,2001, Norway, Haldor Lægreid, On My Own, 22, 3,,,,, NRK," Tom Hanssen, Ole Antonsen, Ole Olsen"," Tom Hanssen, Ole Antonsen, Ole Olsen"
 poland_2001,2001, Poland, Piasek, 2 Long, 20, 11,,,,, TVP, Robert Chojnacki, Andrzej Piaseczny
 portugal_2001,2001, Portugal, MTM, Só Sei Ser Feliz Assim, 17, 18,,,,, RTP, Marco Quelhas, Marco Quelhas
 russia_2001,2001, Russia, Mumiy troll, Lady Alpine Blue, 12, 37,,,,, C1R, Ilia Lagutenko, Ilia Lagutenko
 slovenia_2001,2001, Slovenia, Nuša Derenda, Energy, 7, 70,,,,, RTVSLO, Matjaž Vlašič," Urša Vlašič, Lucienne Lonchina"
 spain_2001,2001, Spain, David Civera, Dile Que La Quiero, 6, 76,,,,, TVE, Alejandro Abad, Alejandro Abad
 sweden_2001,2001, Sweden, Friends, Listen To Your Heartbeat, 5, 100,,,,, SVT," Thomas G:son, Henrik Sethsson"," Thomas G:son, Henrik Sethsson"
 turkey_2001,2001, Turkey, Sedat Yüce, Sevgiliye Son, 11, 41,,,,, TRT, Semih Güneri," Nurdan Güneri, Figen Çakmak"
 united kingdom_2001,2001, United Kingdom, Lindsay D., No Dream Impossible, 15, 28,,,,, BBC," Russ Ballard, Chris Winter"," Russ Ballard, Chris Winter"
 austria_2002,2002, Austria, Manuel Ortega, Say A Word, 18, 26,,,,, ORF, Alexander Kahr, Robert Pfluger
 belgium_2002,2002, Belgium, Sergio & the Ladies, Sister, 13, 33,,,,, VRT, Marc Paelinck, Dirk Paelinck
 bosnia & herzegovina_2002,2002, Bosnia & Herzegovina, Maja, Na Jastuku Za Dvoje, 13, 33,,,,, PBSBIH, Dragan Mijatović, Ružica Čavić
 croatia_2002,2002, Croatia, Vesna Pisarovic, Everything I Want, 11, 44,,,,, HRT, Milana Vlaović, Milana Vlaović
 cyprus_2002,2002, Cyprus, One, Gimme, 6, 85,,,,, CyBC, Giorgos Theophanous, Giorgos Theophanous
 denmark_2002,2002, Denmark, Malene, Tell Me Who You Are, 24, 7,,,,, DR, Michael Ronson, Michael Ronson
 estonia_2002,2002, Estonia, Sahléne, Runaway, 3, 111,,,,, ERR," Pearu Paulus, Ilmar Laisaar, Alar Kotka", Jana Hallas
 finland_2002,2002, Finland, Laura, Addicted To You, 20, 24,,,,, YLE, Maki Kolehmainen," Janina Frostell, Tracy Lipp"
 france_2002,2002, France, Sandrine François, Il Faut Du Temps, 5, 104,,,,, France 3," Patrick Bruel, Marie-Florence Gros"," Rick Allison, Patrick Bruel"
 germany_2002,2002, Germany, Corinna May, I Can't Live Without Music, 21, 17,,,,, ARD, Ralph Siegel, Bernd Meinunger
 greece_2002,2002, Greece, Michalis Rakintzis, S.A.G.A.P.O., 17, 27,,,,, ERT, Michalis Rakintzis, Michalis Rakintzis
 israel_2002,2002, Israel, Sarit Hadad, Light A Candle, 12, 37,,,,, IBA, Tzvika Pik, Yoav Ginai
 latvia_2002,2002, Latvia, Marie N, I Wanna, 1, 176,,,,, LTV, Marie N," Marie N, Marats Samauskis"
 lithuania_2002,2002, Lithuania, Aivaras, Happy You, 23, 12,,,,, LRT, Aivaras Stepukonis, Aivaras Stepukonis
 malta_2002,2002, Malta, Ira Losco, 7th Wonder, 2, 164,,,,, TVM, Philip Vella, Gerard James Borg
 north macedonia_2002,2002, North Macedonia, Karolina, Od Nas Zavisi, 19, 25,,,,, MKRTV, Nikola Perevski, Vladimir Krstevski
 romania_2002,2002, Romania, Monica Anghel & Marcel Pavel, Tell Me Why, 9, 71,,,,, TVR, Ionel Tudor, Mirela Voiculescu Fugaru
 russia_2002,2002, Russia, Prime minister, Northern Girl, 10, 55,,,,, C1R, Kim Breitburg," K. Kavaleryan, E. Fridlyand, I. Antonyan"
 slovenia_2002,2002, Slovenia, Sestre, Samo Ljubezen, 13, 33,,,,, RTVSLO, Robert Pešut, Barbara Pešut
 spain_2002,2002, Spain, Rosa, Europe's Living A Celebration, 7, 81,,,,, TVE, Toni Ten, Xasqui Ten
 sweden_2002,2002, Sweden, Afro-dite, Never Let It Go, 8, 72,,,,, SVT, Marcos Ubeda, Marcos Ubeda
 switzerland_2002,2002, Switzerland, Francine Jordi, Dans Le Jardin De Mon Âme, 22, 15,,,,, SSR SRG, Francine Jordi, Francine Jordi
 turkey_2002,2002, Turkey, Buket Bengisu & Saphire, Leylaklar Soldu Kalbinde, 16, 29,,,,, TRT, Fani Hodara," Sami Hodara, Figen Çakmak"
 united kingdom_2002,2002, United Kingdom, Jessica Garlick, Come Back, 3, 111,,,,, BBC, Martyn Baylay, Martyn Baylay
 austria_2003,2003, Austria, Alf Poier, Weil Der Mensch Zählt, 6, 101,,,,, ORF, Alf Poier, Alf Poier
 belgium_2003,2003, Belgium, Urban Trad, Sanomi, 2, 165,,,,, RTBF, Yves Barbieux, Yves Barbieux
 bosnia & herzegovina_2003,2003, Bosnia & Herzegovina, Mija Martina, Ne Brini, 16, 27,,,,, PBSBIH, Ines Prajo, Arjana Kunštek
 croatia_2003,2003, Croatia, Claudia Beni, Vise Nisam Tvoja, 15, 29,,,,, HRT, Andrej Babić, Andrej Babić
 cyprus_2003,2003, Cyprus, Stelios Constantas, Feeling Alive, 20, 15,,,,, CyBC, Stelios Constantas, Stelios Constantas
 estonia_2003,2003, Estonia, Ruffus, Eighties Coming Back, 21, 14,,,,, ERR, Vaiko Eplik, Vaiko Eplik
 france_2003,2003, France, Louisa Baileche, Monts Et Merveilles, 18, 19,,,,, France 3, Hocine Hallaf, Hocine Hallaf
 germany_2003,2003, Germany, Lou, Let's Get Happy, 11, 53,,,,, ARD, Ralph Siegel, Bernd Meinunger
 greece_2003,2003, Greece, Mando, Never Let You Go, 17, 25,,,,, ERT, Mando, Teri Siganos
 iceland_2003,2003, Iceland, Birgitta, Open Your Heart, 8, 81,,,,, RÚV, Birgitta Haukdal, Hallgrímur Óskarsson
 ireland_2003,2003, Ireland, Mickey Harte, We've Got The World, 11, 53,,,,, RTÉ," Martin Brannigan, Keith Molloy"," Martin Brannigan, Keith Molloy"
 israel_2003,2003, Israel, Lior Narkis, Words For Love, 19, 17,,,,, IBA, Yoni Ro`en, Yossi Gispan
 latvia_2003,2003, Latvia, F.L.Y., Hello From Mars, 24, 5,,,,, LTV," Mārtiņš Freimanis, Lauris Reiniks"," Mārtiņš Freimanis, Lauris Reiniks"
 malta_2003,2003, Malta, Lynn Chirchop, To Dream Again, 25, 4,,,,, PBS, Alfred Zammit, Cynthia Sammut
 netherlands_2003,2003, Netherlands, Esther Hart, One More Night, 13, 45,,,,, NOS," Tjeerd van Zanen, Alan Michael"," Tjeerd van Zanen, Alan Michael"
 norway_2003,2003, Norway, Jostein Hasselgård, I'm Not Afraid To Move On, 4, 123,,,,, NRK," Arve Furset, VJ Strøm"," Arve Furset, VJ Strøm"
 poland_2003,2003, Poland, Ich Troje, Keine Grenzen - Zadnych Granic, 7, 90,,,,, TVP," André Franke, Joachim Horn-Bernges"," Franke, Horn-Bernges, Michał Wiśniewski, Jacek Łagwa"
 portugal_2003,2003, Portugal, Rita Guerra, Deixa-me Sonhar, 22, 13,,,,, RTP, Paulo Martins, Paulo Martins
 romania_2003,2003, Romania, Nicola, Don't Break My Heart, 10, 73,,,,, TVR, Mihai Alexandru, Nicola
 russia_2003,2003, Russia, t.A.T.u.," Ne Ver', Ne Boisia", 3, 164,,,,, C1R, Valeriy Polienko, Mars Lasar
 slovenia_2003,2003, Slovenia, Karmen, Nanana, 23, 7,,,,, RTVSLO, Martin Štibernik, Karmen Stavec
 spain_2003,2003, Spain, Beth, Dime, 8, 81,,,,, TVE," Jesús María Pérez, Amaya Martínez"," Jesús María Pérez, Amaya Martínez"
 sweden_2003,2003, Sweden, Fame, Give Me Your Love, 5, 107,,,,, SVT," Carl Lösnitz, Calle Kindbom"," Carl Lösnitz, Calle Kindbom"
 turkey_2003,2003, Turkey, Sertab Erener, Everyway That I Can, 1, 167,,,,, TRT," Sertab Erener, Demir Demirkan", Demir Demirkan
 ukraine_2003,2003, Ukraine, Olexandr, Hasta La Vista, 14, 30,,,,, NTU, Svika Pick, Mirit Shem Or
 united kingdom_2003,2003, United Kingdom, Jemini, Cry Baby, 26, 0,,,,, BBC, Martin Isherwood, Martin Isherwood
 albania_2004,2004, Albania, Anjeza Shahini, The Image Of You, 7, 106,,,,, RTSH, Edmond Zhulali, Agim Doçit
 andorra_2004,2004, Andorra, Marta Roure, Jugarem A Estimar-nos,,,,,,, RTVA, Jofre Bardagí, Jofre Bardagí
 austria_2004,2004, Austria, Tie Break, Du Bist, 21, 9,,,,, ORF, Peter Zimmermann, Peter Zimmermann
 belarus_2004,2004, Belarus, Aleksandra & Konstantin, My Galileo,,,,,,, BTRC," Aliaksandra Kirsanava, Kanstantsin Drapeza", Aleksey Solomaha
 belgium_2004,2004, Belgium, Xandee, 1 Life, 22, 7,,,,, VRT, Marc Paelinck, Dirk Paelinck
 bosnia & herzegovina_2004,2004, Bosnia & Herzegovina, Deen, In The Disco, 9, 91,,,,, PBSBIH, Vesna Pisarović, Vesna Pisarović
 croatia_2004,2004, Croatia, Ivan Mikulic, You Are The Only One, 12, 50,,,,, HRT," Ivan Mikulić, Vedran Ostojić", Duško Gruborović
 cyprus_2004,2004, Cyprus, Lisa Andreas, Stronger Every Minute, 5, 170,,,,, CyBC, Mike Connaris, Mike Connaris
 denmark_2004,2004, Denmark, Tomas Thordarson, Shame On You,,,,,,, DR, Ivar Lind Greiner, Iben Plesner
 estonia_2004,2004, Estonia, Neiokõsõ, Tii,,,,,,, ERR," Priit Pajusaar, Glen Pilvre", Aapo Ilves
 finland_2004,2004, Finland, Jari Sillanpää, Takes 2 To Tango,,,,,,, YLE, Mika Toivanen, Jari Sillanpää
 france_2004,2004, France, Jonatan Cerrada, A Chaque Pas, 15, 40,,,,, France 3," Ben Robbins, Steve Balsamo", Jonatan Cerrada
 germany_2004,2004, Germany, Max (Maximilian Mutzke), Can't Wait Until Tonight, 8, 93,,,,, ARD, Stefan Raab, Stefan Raab
 greece_2004,2004, Greece, Sakis Rouvas, Shake It, 3, 252,,,,, ERT, Nikos Terzis, Nektarios Tirakis
 iceland_2004,2004, Iceland, Jónsi, Heaven, 19, 16,,,,, RÚV, Sveinn Rúnar Sigurðsson, Magnús Þór Sigmundsson
 ireland_2004,2004, Ireland, Chris Doran, If My World Stopped Turning, 22, 7,,,,, RTÉ, Bryan McFadden, Jonathan Shorten
 israel_2004,2004, Israel, David D'or, Le'ha'amin,,,,,,, IBA, David D'or, David D'or
 latvia_2004,2004, Latvia, Fomins & Kleins, Dziesma Par Laimi,,,,,,, LTV, Tomass Kleins, Guntars Račs
 lithuania_2004,2004, Lithuania, Linas ir Simona, What's Happened To Your Love,,,,,,, LRT," Michalis Antonius, Linas Adomatis", Camden-MS
 malta_2004,2004, Malta, Julie & Ludwig, On Again... Off Again, 12, 50,,,,, PBS, Philip Vella, Gerard James Borg
 monaco_2004,2004, Monaco, Maryon, Notre Planète,,,,,,, TMC, Philippe Bosco, Patrick Sassier
 netherlands_2004,2004, Netherlands, Re-union, Without You, 20, 11,,,,, NOS, Ed van Otterdijk, Angeline van Otterdijk
 north macedonia_2004,2004, North Macedonia, Tose Proeski, Life, 14, 47,,,,, MKRTV, Jovan Jovanov, Ilija Nikolovski
 norway_2004,2004, Norway, Knut Anders Sørum, High, 24, 3,,,,, NRK," Thomas Thörnholm, Lars Andersson", Dan Attlerud
 poland_2004,2004, Poland, Blue Cafe, Love Song, 17, 27,,,,, TVP, Paweł Rurak-Sokal, Tatiana Okupnik
 portugal_2004,2004, Portugal, Sofia, Foi Magia,,,,,,, RTP, Paulo Neves, Paulo Neves
 romania_2004,2004, Romania, Sanda Ladosi, I Admit, 18, 18,,,,, TVR, George Popa, Irina Gligor
 russia_2004,2004, Russia, Julia Savicheva, Believe Me, 11, 67,,,,, C1R, Maxim Fadeev, Brenda Loring
 serbia & montenegro_2004,2004, Serbia & Montenegro, Željko Joksimović, Lane Moje, 2, 263,,,,, RTS, Željko Joksimović, Leontina Vukmanović
 slovenia_2004,2004, Slovenia, Platin, Stay Forever,,,,,,, RTVSLO, Simon Gomilšek, Diana Lečnik
 spain_2004,2004, Spain, Ramón, Para Llenarme De Ti, 10, 87,,,,, TVE, Kike Santander, Kike Santander
 sweden_2004,2004, Sweden, Lena Philipsson, It Hurts, 5, 170,,,,, SVT, Thomas 'Orup' Eriksson, Thomas 'Orup' Eriksson
 switzerland_2004,2004, Switzerland, Piero Esteriore & the MusicStars, Celebrate,,,,,,, SSR SRG, Greg Manning, Greg Manning
 turkey_2004,2004, Turkey, Athena, For Real, 4, 195,,,,, TRT," Gökhan Özoguz, Hakan Özoguz"," Gökhan Özoguz, Hakan Özoguz"
 ukraine_2004,2004, Ukraine, Ruslana, Wild Dances, 1, 280,,,,, NTU, Ruslana," Ruslana, Oleksandr Ksenofontov"
 united kingdom_2004,2004, United Kingdom, James Fox, Hold On To Our Love, 16, 29,,,,, BBC, Gary Miller, Tim Woodcock
 albania_2005,2005, Albania, Ledina Celo, Tomorrow I Go, 16, 53,,,,, RTSH, Adrian Hila," Pandi Laço, Sidorela Risto"
 andorra_2005,2005, Andorra, Marian van de Wal, La Mirada Interior,,,,,,, RTVA, Rafael Artesero," R. Artesero, Rafael Fernández, Daniel Aragay"
 austria_2005,2005, Austria, Global.Kryner, Y Así,,,,,,, ORF, Edi Köhldorfer, Christof Spörk
 belarus_2005,2005, Belarus, Angelica Agurbash, Love Me Tonight,,,,,,, BTRC, Nikos Terzis, Nektarios Tyrakis
 belgium_2005,2005, Belgium, Nuno Resende, Le Grand Soir,,,,,,, RTBF," Alec Mansion, Frédéric Zeiton"," Alec Mansion, Frédéric Zeiton"
 bosnia & herzegovina_2005,2005, Bosnia & Herzegovina, Feminnem, Call Me, 14, 79,,,,, PBSBIH, Andrej Babić, Andrej Babić
 bulgaria_2005,2005, Bulgaria, Kaffe, Lorraine,,,,,,, BNT, Vesselin Ivanov," Vesselin Ivanov, Orlin Pavlov"
 croatia_2005,2005, Croatia, Boris Novkovic feat. Lado members, Vukovi Umiru Sami, 11, 115,,,,, HRT, Franjo Valentić, Boris Novković
 cyprus_2005,2005, Cyprus, Constantinos Christoforou, Ela Ela, 18, 46,,,,, CyBC, Constantinos Christoforou, Constantinos Christoforou
 denmark_2005,2005, Denmark, Jakob Sveistrup, Talking To You, 9, 125,,,,, DR," Andreas Mørck, Jacob Launbjerg"," Andreas Mørck, Jacob Launbjerg"
 estonia_2005,2005, Estonia, Suntribe, Let's Get Loud,,,,,,, ERR, Sven Lõhmus, Sven Lõhmus
 finland_2005,2005, Finland, Geir Rönning, Why,,,,,,, YLE, Mika Toivanen, Steven Stewart
 france_2005,2005, France, Ortal, Chacun Pense à Soi, 23, 11,,,,, France 3, Ortal, Saad Tabainet
 germany_2005,2005, Germany, Gracia, Run & Hide, 24, 4,,,,, ARD," David Brandes, Jane Tempest", Bernd Meinunger
 greece_2005,2005, Greece, Helena Paparizou, My Number One, 1, 230,,,,, ERT, Christos Dantis," Natalia Germanou, C. Dantis"
 hungary_2005,2005, Hungary, NOX, Forogj Világ, 12, 97,,,,, MTV, Szabolcs Harmath, Atilla Valla
 iceland_2005,2005, Iceland, Selma, If I Had Your Love,,,,,,, RÚV," Þ. Þorvaldsson, Vignir Vigfusson"," Selma, Linda Thompson"
 ireland_2005,2005, Ireland, Donna and Joseph McCaul, Love?,,,,,,, RTÉ, Karl Broderick, Karl Broderick
 israel_2005,2005, Israel, Shiri Maymon, Hasheket Shenish'ar, 4, 154,,,,, IBA, Pini Aronbayev," Eyal Shachar, Pini Aronbayev"
 latvia_2005,2005, Latvia, Walter & Kazha, The War Is Not Over, 5, 153,,,,, LTV, Mārtiņš Freimanis, Mārtiņš Freimanis
 lithuania_2005,2005, Lithuania, Laura and the Lovers, Little By Little,,,,,,, LRT, Bobby Ljuggren, William Butt
 malta_2005,2005, Malta, Chiara, Angel, 2, 192,,,,, PBS, Chiara Siracusa, Chiara Siracusa
 moldova_2005,2005, Moldova, Zdob si Zdub, Boonika Bate Toba, 6, 148,,,,, TRM, Mihai Gîncu, Roman Iagupov
 monaco_2005,2005, Monaco, Lise Darly, Tout De Moi,,,,,,, TMC, Philippe Bosco, Philippe Bosco
 netherlands_2005,2005, Netherlands, Glennis Grace, My Impossible Dream,,,,,,, NOS, Robert D. Fisher, Bruce Smith
 north macedonia_2005,2005, North Macedonia, Martin Vucic, Make My Day, 17, 52,,,,, MKRTV, Dragan Vučić, Branka Kostić
 norway_2005,2005, Norway, Wig Wam, In My Dreams, 9, 125,,,,, NRK, Trond Holter, Trond Holter
 poland_2005,2005, Poland, Ivan & Delfin, Czarna Dziewczyna,,,,,,, TVP, Łukasz Lazer," Ivan Komarenko, Paweł Radziszewski"
 portugal_2005,2005, Portugal, 2B, Amar,,,,,,, RTP," Jose da Ponte, Alexandre Honrado, Ernesto Leite"," Jose da Ponte, Alexandre Honrado, Ernesto Leite"
 romania_2005,2005, Romania, Luminita Anghel & Sistem, Let Me Try, 3, 158,,,,, TVR, Cristian Faur, Cristian Faur
 russia_2005,2005, Russia, Natalia Podolskaya, Nobody Hurt No One, 15, 57,,,,, C1R, Viktor Drobych," Mary Applegate, JP Järvinen"
 serbia & montenegro_2005,2005, Serbia & Montenegro, No Name, Zauvijek Moja, 7, 137,,,,, TVCG, Slaven Knezovic, Milan Peric
 slovenia_2005,2005, Slovenia, Omar Naber, Stop,,,,,,, RTVSLO," Omar Naber, Urša Vlašič", Omar Naber
 spain_2005,2005, Spain, Son de sol, Brujería, 21, 28,,,,, TVE, Alfredo Panebianco, Alfredo Panebianco
 sweden_2005,2005, Sweden, Martin Stenmarck, Las Vegas, 19, 30,,,,, SVT," Niklas Edberger, Tobias Lundgren, Tim Larsson, Johan Fransson"," Niklas Edberger, Tobias Lundgren, Tim Larsson, Johan Fransson"
 switzerland_2005,2005, Switzerland, Vanilla Ninja, Cool Vibes, 8, 128,,,,, SSR SRG," David Brandes, Jane Tempest", John O'Flynn
 turkey_2005,2005, Turkey, Gülseren, Rimi Rimi Ley, 13, 92,,,,, TRT, Erdinç Tunç, Göksan Arman
 ukraine_2005,2005, Ukraine, Greenjolly, Razom Nas Bahato, 19, 30,,,,, NTU," Roman Kalyn, Roman Kostyuk, Mikola Kulinich"," Roman Kalyn, Roman Kostyuk, Mikola Kulinich"
 united kingdom_2005,2005, United Kingdom, Javine, Touch My Fire, 22, 18,,,,, BBC, John Themis, Javine Hylton
 albania_2006,2006, Albania, Luiz Ejlli, Zjarr E Ftohtë,,,,,,, RTSH, Klodian Qafoku, Dr. Flori
 andorra_2006,2006, Andorra, Jennifer, Sense Tu,,,,,,, RTVA, Rafael Artesero, Joan Antoni Rechi
 armenia_2006,2006, Armenia, André, Without Your Love, 8, 129,,,,, AMPTV, Armen Martirosyan, Catherine Bekian
 belarus_2006,2006, Belarus, Polina Smolova, Mum,,,,,,, BTRC, Sergey Sukhomlin, Andrey Kostiugov
 belgium_2006,2006, Belgium, Kate Ryan, Je T'adore,,,,,,, VRT," N. Kings, L. Greene, N. Bergwall, K. Ryan"," N. Kings, L. Greene, N. Bergwall, K. Ryan"
 bosnia & herzegovina_2006,2006, Bosnia & Herzegovina, Hari Mata Hari, Lejla, 3, 229,,,,, BHRT, Željko Joksimović," Fahrudin P.-Peca, Dejan Ivanović"
 bulgaria_2006,2006, Bulgaria, Mariana Popova, Let Me Cry,,,,,,, BNT, Dani Milev, Elina Gavrilova
 croatia_2006,2006, Croatia, Severina, Moja Stikla, 12, 56,,,,, HRT," Boris Novković, Franjo Valentić", Severina Vučković
 cyprus_2006,2006, Cyprus, Annet Artani, Why Angels Cry,,,,,,, CyBC, Peter Yiannakis, Peter Yiannakis
 denmark_2006,2006, Denmark, Sidsel Ben Semmane, Twist Of Love, 18, 26,,,,, DR, Niels Drevsholt, Niels Drevsholt
 estonia_2006,2006, Estonia, Sandra, Through My Window,,,,,,, ERR," Pearu Paulus, Ilmar Laisaar, Alar Kotkas", Jana Hallas
 finland_2006,2006, Finland, Lordi, Hard Rock Hallelujah, 1, 292,,,,, YLE, Mr. Lordi, Mr. Lordi
 france_2006,2006, France, Virginie Pouchin, Il était Temps, 22, 5,,,,, France 3, Corneille, Corneille
 germany_2006,2006, Germany, Texas Lightning," No, No, Never", 14, 36,,,,, ARD, Jane Comerford, Jane Comerford
 greece_2006,2006, Greece, Anna Vissi, Everything, 9, 128,,,,, ERT, Nikos Karvelas, Anna Vissi
 iceland_2006,2006, Iceland, Silvia Night, Congratulations,,,,,,, RÚV, Þorvaldur Bjarni Þorvaldsson, Silvia Night
 ireland_2006,2006, Ireland, Brian Kennedy, Every Song Is A Cry For Love, 10, 93,,,,, RTÉ, Brian Kennedy, Brian Kennedy
 israel_2006,2006, Israel, Eddie Butler, Ze Hazman, 23, 4,,,,, IBA, Eddie Butler," Osnat Tsabag, Orly Burg"
 latvia_2006,2006, Latvia, Cosmos, I Hear Your Heart, 16, 30,,,,, LTV," Andris Sējāns, Reinis Sējāns"," G. Račs, Molly-A. Leikin"
 lithuania_2006,2006, Lithuania, LT United, We Are The Winners, 6, 162,,,,, LRT," A. Mamontovas, S. Urbonavičius, V. Diowara"," A. Mamontovas, S. Urbonavičius, V. Diowara"
 malta_2006,2006, Malta, Fabrizio Faniello, I Do, 24, 1,,,,, PBS," Aldo Spiteri, Fabrizio Faniello"," Aldo Spiteri, Fabrizio Faniello"
 moldova_2006,2006, Moldova, Arsenium & Natalia Gordienko, Loca, 20, 22,,,,, TRM, Arsenium, Arsenium
 monaco_2006,2006, Monaco, Séverine Ferrer, La Coco-dance,,,,,,, TMC," J. Woodfeel, Iren Bo"," J. Woodfeel, Iren Bo"
 netherlands_2006,2006, Netherlands, Treble, Amambanda,,,,,,, NOS," Caroline Hoffman, Niña van Dijk, Djem van Dijk"," Caroline Hoffman, Niña van Dijk, Djem van Dijk"
 north macedonia_2006,2006, North Macedonia, Elena Risteska, Ninanajna, 12, 56,,,,, MKRTV, Darko Dimitrov, Rade Vrčakovski
 norway_2006,2006, Norway, Christine Guldbrandsen, Alvedansen, 14, 36,,,,, NRK," Atle Halstensen, Kjetil Fluge"," Atle Halstensen, Kjetil Fluge"
